id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
75928,1691,Advance Wars,"The story of the Advance Wars begins in the ""Field Training"" tutorial mode, with the nation of Orange Star in a war against the neighboring nation of Blue Moon, with Olaf as the Blue Moon Army commanding officer (CO). Olaf suddenly ordered an invasion of the Orange Star nation and is in battle with the Orange Star Army. The campaign continues the story that started in the tutorial. Nell, the de facto leader of the Orange Star COs, gives the player the duty of a tactical advisor for the Orange Star Army.  The player follows the war effort through all four countries, with its own COs, over the course of the game. Starting with having only one choice of a CO to advise, Andy, the player will have a choice of two more Orange Star COs, Max and Sami, to advise as the story progresses, each with their own advantages and disadvantages. Depending on which CO is chosen by the player to advise, there are times when a mission is split into a choice of two or three, where the maps and dialog could be different. After completing that mission, the story paths could split up, depending on which CO was chosen in that previous mission, with the story differing from the other path, eventually leading back to the main path.  After winning a battle against Green Earth, Andy gets mysteriously accused by Green Earth's CO, Eagle, of committing a treacherous act of aggression against Green Earth. After defeating the Blue Moon troops that invaded the Orange Star country, the Orange Star Army then invade the Blue Moon country, defeating their troops. The Blue Moon COs, Olaf and Grit, are revealed to be COs whom both used to work for the Orange Star Army, but switched to Blue Moon. When the Orange Star Army's intention was to just pass through the other two countries, Green Earth and Yellow Comet, the countries' COs like Kanbei of Yellow Comet assume a threat of an invasion and declare battles against the Orange Star Army in their land.  Later on, Green Earth CO Drake tells Eagle that the Orange Star Army didn't attack Green Earth, saying that ""This entire conflict has been orchestrated from the beginning."" Meanwhile, Yellow Comet CO Sonja and Grit try to discover the person who is really behind the attacks. When Eagle meets Andy again, Eagle again accuses Andy of attacking Green Earth, to which the Orange Star COs eventually convince Eagle that it wasn't Andy who attacked Green Earth. This explains why the three nations have been declaring battles against Orange Star, as they thought Andy attacked them first.  When Eagle meets Sonja, Sonja also tells Eagle that Andy wasn't behind the attacks, saying it was someone else, and goes with her to see what she discovered. It is revealed that the enigmatic Black Hole Army, under the command of Sturm, is the true enemy. Using a CO doppelganger clone of Andy, Sturm stirred up war among the four countries in order to confuse, weaken, and eventually conquer them. Once this is revealed, the four countries unite to drive Black Hole out of their land, the Cosmo Land, with COs automatically chosen depending on the paths the player took during the game.",2001-09-10 00:00:00.000,34,NULL,100.0000,1,81.6547,82
76444,18626,Street Fighter II Turbo,"They're back and they're badder than ever! Faster, stronger and with all new moves, twelve of the greatest fighters from across the globe are ready to do battle! Choose your champion and get ready for the big brawl as they try to earn the right to battle M. Bison for the title. And just when you think you've mastered it all, crank it up a notch and go TURBO!",1993-07-11 00:00:00.000,23,NULL,100.0000,1,83.1673,79
78031,3100,Wasteland,"In the year 2087, a remnant of the U.S. Army called the Desert Rangers is based in the Southwestern United States following the global nuclear war of 1998. A team of Desert Rangers is assigned to investigate a series of disturbances in the nearby areas and, throughout the game, explores the remaining enclaves of human civilization, including a post-apocalyptic Las Vegas. The player's party begins with four characters, and through the course of the game can hold as many as seven characters by recruiting certain citizens and creatures of the wasteland to the player's cause.  Over the course of the game the player's party discovers evidence of a larger menace that threatens to exterminate what is left of the human kind in the game's region and eventually the world. The menace, a pre-war AI computer that is operating from a surviving military facility; Base Cochise, where it is constructing armies of killer machines and cybernetically modified humans with which it is attacking settlements. Its goal is to replace the current 'flawed' population with genetically pure specimens. With the help from a pre-war android named Max the player recovers the necessary technology and weapons in order to confront the computer at its base and stop it by making the base's nuclear reactor go critical.",1988-12-31 00:00:00.000,6,NULL,100.0000,1,78.7053,18
78079,17298,Marine Park Empire,NULL,2005-09-22 00:00:00.000,1,NULL,100.0000,1,70.0000,0
79192,165192,The Elder Scrolls V: Skyrim Anniversary Edition,NULL,2021-11-11 00:00:00.000,NULL,NULL,100.0000,2,NULL,NULL
92713,77336,The Legend of Zelda: A Link to the Past & Four Swords,"In A Link to the Past The intro to A Link to the Past reveals the back story of the game, showing that series antagonist Ganon was sealed away after his bid for the Triforce. However, the seal has grown weak, and a wizard named Agahnim has taken over the throne of Hyrule, and is kidnapping the seven descendants of the Sages who sealed away Ganon, which includes Princess Zelda. The game opens with series protagonist Link receiving a message from Zelda, telling him to come save her. Following his Uncle, he finds him near death, and is tasked by his Uncle to find and rescue Zelda, giving him his sword and shield before dying. After Link reaches the dungeons, he frees Zelda from her cage, and takes her through a hidden sewer into a Sanctuary, where she remains hidden. The man in the Sanctuary tells Link of Agahnim's plan to break the seal the Sages placed, requiring Link to obtain the Master Sword. Link travels across Hyrule, aided by a man named Sahasrahla, collecting three pendants from the three dungeons, using them to unseal the Master Sword in the Lost Woods. Link returns to Hyrule Castle with the Master Sword after Zelda is kidnapped. When he meets Agahnim, he finds that he is too late, as Agahnim teleports her away.  After battling and defeating Agahnim, he takes Link into the Sacred Realm, which has been corrupted and transformed into the Dark World by Ganon. He is tasked with rescuing the seven Maidens who have been sealed away in crystals, as well as finding magical items called the Silver Arrows. Link eventually rescues Zelda, and uses the Maidens' power to break into Ganon's Tower. After fighting and defeating Agahnim for the second time, Ganon flies from Agahnim's corpse into the Pyramid of Power. Link follows, doing battle with him. He eventually defeats Ganon, and finds the Triforce. After the Triforce speaks to Link, Link uses it to wish for Hyrule to return to normal. Afterward, he returns the Master Sword to where he found it. If the player has completed Four Swords, they may find an alternate ending by beating a secret dungeon. This dungeon features four Dark Links, in reference to the four Links in the Four Swords game. After defeating them, an ending showing the inhabitants of the Dark World and the various bosses is shown.  In Four Swords Taking place before the events of Ocarina of Time, the prologue shows Link and Zelda approaching a sword in a pedestal, called the Four Sword. After Zelda explains its history and the creature sealed within it, the creature named Vaati breaks free, capturing Zelda to marry her. Link is encountered by three fairies who instruct Link to pull the Four Sword out. Link pulls the Four Sword out, inadvertently creating three copies of himself that fight alongside him. As the game begins, the four Links are tasked with finding four Great Fairies, who together will grant them access to Vaati's palace. After finding the four Great Fairies and entering the palace the Links battle Vaati. After Vaati is thoroughly weakened, he is trapped in the Four Sword. Zelda and Link return the Four Sword back in its pedestal.",2002-12-02 00:00:00.000,6,NULL,100.0000,1,86.1113,15
100106,9150,Punch-Out!!,NULL,1983-12-31 00:00:00.000,1,NULL,100.0000,0,NULL,NULL
119080,1026,The Legend of Zelda: A Link to the Past,"The plot of A Link to the Past focuses on Link as he travels on a journey to save Hyrule, defeat Ganon and rescue the seven descendants of the Sages. A Link to the Past uses a 3/4 top-down perspective similar to that of the original The Legend of Zelda, dropping the side scrolling elements of Zelda II: The Adventure of Link. A Link to the Past introduced elements to the series that are still commonplace today, such as the concept of an alternate or parallel world, the Master Sword and other new weapons and items.",1991-11-21 00:00:00.000,449,NULL,100.0000,1,92.4196,1108
123575,23754,Tony Hawk's Pro Skater 4 Street,NULL,2002-12-31 00:00:00.000,1,NULL,100.0000,1,NULL,NULL
126580,727,Grand Prix 3,NULL,2000-08-24 00:00:00.000,1,NULL,100.0000,1,70.2022,6
128434,1454,Suikoden II,NULL,1998-12-17 00:00:00.000,32,NULL,100.0000,1,92.3705,76
130795,21862,Saints Row IV: Super Dangerous Wad Wad Edition (aka the Million Dollar Pack),NULL,2013-08-20 00:00:00.000,NULL,NULL,100.0000,0,NULL,NULL
131324,8318,Bejeweled,NULL,2001-05-30 00:00:00.000,4,NULL,100.0000,1,67.2576,16
131862,54817,Hyper Universe,NULL,2018-01-17 00:00:00.000,NULL,NULL,100.0000,1,50.0000,0
136847,22117,Oceanhorn,NULL,2013-11-14 00:00:00.000,11,NULL,100.0000,1,77.1268,9
137684,20860,Destiny: The Taken King - Legendary Edition,"Prior to the events of The Taken King, Guardians crippled the Hive invasion force on Earth and the Moon by methodically taking down their field commanders and strategists, including Sardon and Omnigul. The Guardians then banished Crota's soul and eventually killed Crota himself. They also destroyed a Shrine communing with Oryx and killed its protector, Sardok.  Eris Morn alerted Mara Sov of Oryx's arrival, and the Queen set out with the Awoken Armada to Saturn, where the Taken King's Dreadnaught had stopped to refuel. Uldren Sov led his fighter wings to attack the Dreadnaught and engage the fleet of Tombships protecting it, with the Queen and Oryx presiding over the battle from their respective flagships.  With help from her Coven of Techeun Witches, the Queen summoned her Harbingers, deadly orbs that could decimate an army in seconds. The Harbingers bombarded the Dreadnaught, but after the explosions faded away there seemed to be no lasting marks on the battlecruiser. Oryx then fired the ship's superweapon, which ripped a hole through the rings of Saturn and completely destroyed the Awoken fleet. Queen Mara and many other major parts of the Reef's leadership, including Paladin Abra Zire and Techeun Shuro Chi, have since disappeared and are considered MIA, while Petra Venj has advised a remaining Paladin to declare all of them dead.  Attack on Phobos Meanwhile, the Vanguard intercepted a distress signal on all channels, broadcasted from the Skyburners fortress Fleetbase Korus on Phobos. A Guardian is dispatched to Phobos, and they witness a strange new enemy slaughtering the Skyburners. Oryx contacts the Guardians, willing into existence an army of corrupted Cabal and Hive called the Taken. The Guardian defeats these Taken, overcoming Syrok, Word of Oryx. They then attempt to escape the Skyburner Keep via the Aerodrome landing pad, which is riddled with Taken. The Guardian reaches the landing pad and escapes Phobos in their ship.  From then, Oryx's master plan is revealed: He will enslave as many Cabal, Vex, Fallen, and his own Hive as he can, and use them to bring the system into ruin. Initially, one of his consorts, Ecthar (who also fluently speaks English), tells him to only retrieve the strongest of the four races and bring the rest to nigh-extinction, but Oryx objects to Ecthar's advice.  Realizing that the Taken are too deadly a threat to take lightly, the Vanguard send Guardians to rediscover lost powers of their forebearers. The Hunter gains the Nightstalker class and the Shadowshot super ability, the Warlock gains the Stormcaller class and the Stormtrance super ability, and the Titan gains the Sunbreaker class and the Hammer of Sol super ability.",2015-09-15 00:00:00.000,NULL,NULL,100.0000,0,NULL,NULL
137649,20479,Rocket Riot,NULL,2009-06-17 00:00:00.000,NULL,NULL,100.0000,4,NULL,NULL
139318,22060,Grand Prix 4,NULL,2002-06-21 00:00:00.000,1,2,100.0000,1,NULL,NULL
142071,96382,Without Within 3,NULL,2018-05-03 00:00:00.000,NULL,NULL,100.0000,1,70.0000,0
142823,804,NASCAR Racing 2003 Season,NULL,2003-02-13 00:00:00.000,NULL,NULL,100.0000,1,NULL,NULL
145182,2765,Spongebob Squarepants: Battle For Bikini Bottom,"The game revolves around the theme of robots invading Bikini Bottom, SpongeBob's hometown. The robots were created by Plankton, the evil genius owner of the Chum Bucket, who has built a new machine called the Duplicatotron 3000 to produce an army ofjeremih to take over the world using these robots, but only after he creates them does he realizes that the switch on the Duplicatotron has accidentally been switched to ""Don't Obey"" and the robots quickly kick him out of the Chum Bucket before taking over it.  SpongeBob and Patrick were playing with toy robots and wish they would with real robots. Patrick uses his ""magic wishing shell"" to make their wish come true, hoping they will show up tomorrow. SpongeBob wakes up to find that his house has been trashed after thinking he wants to play with a robot. He wanders through the house for a while and receives a fax from Mr. Krabs, stating that he would give SpongeBob a golden spatula for every certain amount of shiny objects he collects for him. Outside, SpongeBob finds a disappointed Plankton, who weaves a tale of lies to the hero, claiming that the robots showed up out of nowhere and kicked him out. Fooled by the diminutive villain, SpongeBob embarks on a perilous quest to find golden spatulas, get rid of the robots, trading shiny objects to Mr. Krabs for golden spatulas, searching for Patrick's stolen socks (that had been taken by the robots) who will give him golden spatulas if he brings back ten socks, and getting Plankton back into the Chum Bucket, including bungee jumping, bubble blowing, learning new bubble moves from Bubble Buddy, and traveling through dreams amongst others.",2003-10-31 00:00:00.000,5,NULL,100.0000,1,81.6104,48
146474,18123,"Flower, Sun, and Rain",NULL,2001-05-02 00:00:00.000,1,NULL,100.0000,3,60.6040,11
151099,10250,Droplitz,NULL,2009-06-24 00:00:00.000,NULL,NULL,100.0000,4,NULL,NULL
153747,1627,Super Smash Bros. Melee,NULL,2001-11-21 00:00:00.000,182,NULL,100.0000,2,89.0709,608
154120,1600,Gran Turismo 3: A-Spec,NULL,2001-04-28 00:00:00.000,29,NULL,100.0000,1,85.2657,76
154127,272,Unreal Tournament,"During the Human/Skaarj war, the New Earth Government was formed. Mining was the primary method of financing the war, though was unpopular with the working class, who grew weary of the working conditions and the war. The humans were losing the war, and riots broke out. The Terran system was surrounded by Skaarj forces, but a government team destroyed their mothership, and the Skaarj withdrew. Afterward, mining incidents were on the increase, and efforts to deal with them were unsuccessful. The government then came up with the idea of giving the violence an outlet instead. ""Consensual murder"" was legalized in the year 2291, enabling people to fight to the death under organized conditions. Mining conglomerates worked with the government and organized leagues, which proved successful. One such company, the Liandri Mining Corporation, capitalized on the fights by tri-casting them; this proved to be more popular than the combat itself, their popularity increasing with brutality. By 2341, what is now called the ""Tournament"" became a professional sport more profitable than mining. Liandri Mining Corporation annually hosts the ""Grand Tournament"", the most popular event in the sport.",1999-11-22 00:00:00.000,78,NULL,100.0000,1,86.8080,193
154432,18870,Championship Manager 4,NULL,2003-03-01 00:00:00.000,5,NULL,100.0000,1,89.9260,16
154804,657,Dark Age of Camelot,NULL,2001-10-10 00:00:00.000,3,NULL,100.0000,1,89.0978,7
156481,1070,Super Mario World,"Mario is having a vacation in Dinosaur Land when he learns that Princess Peach Toadstool has been kidnapped by the evil King Koopa Bowser. When Mario starts searching for her he finds a giant egg with a dinosaur named Yoshi hatching out of it. Yoshi tells Mario that his fellow dinosaurs have been imprisoned in eggs by Bowser's underlings. The intrepid plumber has to travel to their castles, rescue the dinosaurs, and eventually face King Koopa himself, forcing him to release the princess.",1990-11-21 00:00:00.000,537,NULL,100.0000,1,93.0055,1195
163306,4923,Ice Age: Dawn of the Dinosaurs,NULL,2009-06-30 00:00:00.000,3,NULL,100.0000,2,59.1969,8
164001,19272,Angry Birds Star Wars II,NULL,2013-09-18 00:00:00.000,5,NULL,100.0000,1,74.3927,18
164678,4876,Disney G-Force,NULL,2009-07-21 00:00:00.000,2,NULL,100.0000,5,57.7928,11
170207,4929,Impossible Mission,NULL,1984-12-31 00:00:00.000,2,NULL,100.0000,1,78.3885,15
171681,1073,Super Mario World 2: Yoshi's Island,"A stork carrying the infant Mario Brothers is attacked by Kamek the Magikoopa, who steals Baby Luigi and knocks Baby Mario out of the sky. Baby Mario lands on Yoshi's Island on the back of Yoshi himself. With the help of his seven other Yoshi friends, Yoshi must traverse the island to safely reunite Baby Mario with his brother and get the babies to their parents.",1995-08-05 00:00:00.000,175,NULL,100.0000,1,88.9330,460
172354,106108,Irony Curtain: From Matryoshka with Love,NULL,2019-05-16 00:00:00.000,NULL,1,100.0000,1,79.3222,6
172702,20484,Space Bust-A-Move,NULL,2009-08-28 00:00:00.000,NULL,NULL,100.0000,3,68.0000,1
173003,426,Final Fantasy VI,"Final Fantasy VI focuses on a conflict between the Gestahlian Empire conquering the world and a rebel faction opposed to them known as the Returners, taking place in a fantasy steampunk-style world. The Empire has acquired great power by experimenting on captured espers, magical creatures of legend. The Returners seek magical power to fight the Empire on equal terms, and an amnesiac former imperial soldier, Terra Branford, proves key to both sides for understanding magic and espers.",1994-04-02 00:00:00.000,217,NULL,100.0000,1,90.1699,536
173025,5714,25 To Life,NULL,2006-01-17 00:00:00.000,2,NULL,100.0000,2,40.1836,11
173176,7767,Mini Metro,NULL,2015-10-22 00:00:00.000,29,1,100.0000,1,77.4731,82
173207,1124,Super Castlevania IV,NULL,1991-10-31 00:00:00.000,27,NULL,100.0000,1,76.8157,135
130767,1077,Super Mario Galaxy,"Every hundred years, a huge comet flies by in the skies above the Mushroom Kingdom. One year, that comet filled the entire sky, and from it fell a stream of shooting stars. The Toads scooped up the Star Bits and brought them to the castle, where they were reborn as a great Power Star. It was a happy time in the Mushroom Kingdom. Then one night Mario received a letter...  “Dear Mario, I’ll be waiting for you at the castle on the night of the Star Festival. There’s something I’d like to give you. from Peach”  With invitation in hand, Mario headed off to the castle just as the Star Festival was getting into full swing. Surrounded by Toads gleefully trying to catch falling Star Bits, Mario was looking forward to the night’s festivities. But then, something happened...",2007-11-01 00:00:00.000,223,NULL,98.7500,5,88.4557,723
62514,21765,Dragon Age: Origins Collector's Edition,NULL,2009-12-03 00:00:00.000,NULL,NULL,98.0000,1,NULL,NULL
156495,21737,Pac-Man: Championship Edition DX,NULL,2010-11-17 00:00:00.000,4,NULL,98.0000,3,92.4729,23
172623,7346,The Legend of Zelda: Breath of the Wild,Link awakes in a mysterious chamber after 100 years of slumber to find that Calamity Ganon has taken over Hyrule Castle and left Hyrule to decay and be taken over by nature.,2017-03-03 00:00:00.000,691,142,97.5926,31,92.0993,1568
171650,134014,The Legend of Zelda: Twilight Princess,"Link, a young man from a small farming village, finds Hyrule is being consumed by an otherworldly twilight. Guided by a strange pixie named Midna, he endeavors to return light to the land and confront the usurper king Zant.",2006-11-19 00:00:00.000,NULL,NULL,97.5000,2,NULL,NULL
171219,479,Metal Gear Solid 3: Subsistence,NULL,2005-12-22 00:00:00.000,101,NULL,97.5000,4,92.2752,167
171882,139446,Mortal Kombat 11: Ultimate,NULL,2020-11-17 00:00:00.000,2,1,97.3333,4,89.9937,8
160689,721,Freedom Force vs. The 3rd Reich,NULL,2005-03-08 00:00:00.000,5,NULL,97.0000,1,89.0682,11
130706,26758,Super Mario Odyssey,NULL,2017-10-27 00:00:00.000,365,88,96.7059,19,89.7831,980
79045,492,Gears of War 3,NULL,2011-09-20 00:00:00.000,68,NULL,96.6667,8,81.9302,227
146130,7170,Ico,"Ico, a horned boy, is taken by a group of warriors to an abandoned castle and locked inside a stone coffin to be sacrificed. A tremor topples the coffin and Ico escapes. As he searches the castle, he comes across Yorda (ヨルダ Yoruda?), a captive girl who speaks a different language. Ico helps Yorda escape and defends her from shadow-like creatures. The pair make their way through the castle and arrive at the bridge leading to land. As they cross, the Queen, ruler of the castle, appears and tells Yorda that as her daughter she cannot leave the castle. The Queen destroys part of the bridge; although Yorda tries to save him, Ico falls off the bridge and loses consciousness.  Ico awakens below the castle and makes his way back to the upper levels, finding a magic sword that dispels the shadow creatures. After discovering that Yorda has been turned to stone by the Queen. He confronts the Queen in her throne room, who reveals that she plans to restart her life anew by taking possession of Yorda's body. Ico slays the Queen with the magic sword, but with her death the castle begins to collapse around him; he is hit by falling debris, breaking his horns, and he falls unconscious. The Queen's spell on Yorda is broken, and a shadowy Yorda carries Ico safely out of the castle to a boat, sending him to drift to the shore alone. Ico awakens to find the distant castle in ruins, and Yorda, in her human form, washed up nearby. She stirs.",2001-09-24 00:00:00.000,96,NULL,96.6667,3,84.9217,224
138779,1552,Virtua Fighter 4,NULL,2001-08-01 00:00:00.000,2,NULL,96.5000,2,71.1051,10
46029,12517,Undertale,"""A long time ago, two races ruled peacefully over the Earth: HUMANS and MONSTERS. One day, a terrible war broke out between the two races. After a long battle, the humans were victorious. They sealed the monsters underground with a magical spell.  In the year 201X, a small child scales Mt. Ebott. It is said that those who climb the mountain never return.  Seeking refuge from the rainy weather, the child enters a cave and discovers an enormous hole.  Moving closer to get a better look... the child falls in.  Now, our story begins.""",2015-09-15 00:00:00.000,358,NULL,96.3846,16,87.5433,1093
158703,7425,The Witness,NULL,1983-12-31 00:00:00.000,NULL,NULL,96.2857,8,NULL,NULL
170766,1078,Super Mario Galaxy 2,"Shining stardust falls on the Mushroom Kingdom once every hundred years. That time had come again…  “Dear Mario, Would you like to share some cake while we watch the shooting stars? Meet me at the castle! Peach”  Mario ran through the field with stars falling around him. Suddenly, he noticed a strange light in the grass. As he peered cautiously through the reeds, he saw a small, lost Luma. With the baby Luma tucked safely under his cap, Mario rushed on to the castle. But when he got there, something unexpected was waiting for him…",2010-05-23 00:00:00.000,231,NULL,96.2500,10,89.1122,555
78410,1036,The Legend of Zelda: Twilight Princess,"Link, a young man from a small farming village, finds Hyrule is being consumed by an otherworldly twilight. Guided by a strange pixie named Midna, he endeavors to return light to the land and confront the usurper king Zant.",2006-11-19 00:00:00.000,257,NULL,96.2500,3,85.5053,540
126375,19560,God of War,"Many years have passed since Kratos, Spartan warrior and former Greek God of War, took his vengeance against the Greek Gods, and he now lives with his young son Atreus in ancient Norway in the realm of Midgard. The game begins after the death of the Jötunn warrior Faye, Kratos' second wife and Atreus' mother, whose last request was for her ashes to be spread at the highest speak of the nine realms. Kratos and Atreus prepare a funeral pyre for her, mourn her death and soon go on a hunt as per Kratos' desire. However much to Kratos' disappointment, Atreus proves his incompetence and lack of focus, making Kratos reconsider taking Atreus in his journey. Kratos is soon attacked by a mysterious stranger with godlike powers, and who cannot feel anything physically. After seemingly killing him, Kratos reluctantly takes Atreus with him and begins their journey.",2018-04-20 00:00:00.000,511,92,96.2308,30,94.5035,1528
148349,472,The Elder Scrolls V: Skyrim,"The Empire of Tamriel is on the edge. The High King of Skyrim has been murdered. Alliances form as claims to the throne are made. In the midst of this conflict, a far more dangerous, ancient evil is awakened. Dragons, long lost to the passages of the Elder Scrolls, have returned to Tamriel. The future of Skyrim, even the Empire itself, hangs in the balance as they wait for the prophesized Dragonborn to come; a hero born with the power of The Voice, and the only one who can stand amongst the dragons.",2011-11-10 00:00:00.000,1047,NULL,96.1111,12,87.5199,2598
160995,3363,Mario & Luigi: Bowser's Inside Story,NULL,2009-09-14 00:00:00.000,28,NULL,96.0000,7,89.5890,90
157546,21695,Assassin's Creed III: Deluxe Edition,NULL,2012-09-30 00:00:00.000,1,NULL,96.0000,1,NULL,NULL
169791,23409,Modern Combat 5: Blackout,NULL,2014-07-01 00:00:00.000,2,NULL,96.0000,2,70.1029,9
126778,499,God of War III,"Following the ending of God of War II, God of War III picks up directly after this with a stirring opening narration from Zeus discussing the actions of the rogue Kratos, who is 'commanding' a small army of Titans rescued from the Great War (using the power of the Fates). The Olympians immediately rush to battle; Helios rides on his chariot over Olympus, Hermes speeds down the very peaks of Olympus as Zeus watches on, Hercules receives the order to lead his troops down into the fray, Hades lunges off and engages several Titans in his giant form, and Poseidon (using his aquakinesis) shoots down from Olympus like a missile and performs a death blow through the chest of Epimetheus, and then manifests himself as a massive water being and spawns several water horses called Hippocampi to aid in the battle. With Poseidon as their greatest threat in the battle, having already decimated numerous Titans and soon going after Gaia herself, Kratos engages the God of the Sea and after drawing him into Gaia's grasp manages to knock a weakened Poseidon out of his godly form and onto a separate platform. The two quarrel with each other briefly before Kratos walks up and beats the Lord of the Sea savagely, finally gouging out his eyes and snapping his neck before he tosses him into the ocean. With Poseidon's death, the seas cataclysm and ocean levels rise significantly, causing a flood that appears to engulf the entire world and destroying almost all of mankind save those on top of Olympia.",2010-03-16 00:00:00.000,184,NULL,96.0000,11,86.1672,533
138253,121763,Syberia: The World Before,NULL,2022-03-18 00:00:00.000,1,3,96.0000,1,NULL,NULL
135466,9253,Ingress,NULL,2013-10-30 00:00:00.000,6,NULL,96.0000,1,64.2032,11
93059,1058,LittleBigPlanet,"LittleBigPlanet is set in a world full of creations made by Creator Curators. One of the Curators, a rogue Creator called ""the Collector"", is stealing the other Creators' creations and not sharing them with the world (sharing is one of the core elements of LittleBigPlanet). Play starts at the ""Gardens"" level, where the player meets the King, one of the Curators; the Queen; Little Xim; Big Zam and Dumpty. The player is taught the basic gameplay at this stage: running, jumping, and grabbing. The next setting is the ""Savannah"", where the player accidentally breaks one of the ruler's creations. In return for forgiveness the player must investigate what's scaring the ruler's buffalo. Further adventures involve finding Meerkat Mum's son and a Bridegroom (a story arc with a Day of the Dead theme). After the wedding play moves to the ""Canyons"", where the player must rescue Uncle Jalapeño and defeat the evil Sheriff Zapata. After completing this the player is taken to the ""Metropolis"" and gets a car for a race scenario. The next adventure takes place on the ""Islands"", where the player is trained in martial arts and must defeat the Terrible Oni. From there the player goes to the ""Temples"", to get a flame-throwing cat. Here they meet the Great Magician, who tells them to defeat the Collector in his ""Wilderness"". After the final battle the Collector is revealed to be a little, lonely man who kidnapped everyone because he did not have any friends. Everyone, including the player, offers to be his friend and he accepts, ending his being evil.",2008-10-27 00:00:00.000,73,NULL,96.0000,12,78.9040,206
102090,25910,Mallow Drops,NULL,2016-11-03 00:00:00.000,NULL,NULL,96.0000,1,NULL,NULL
24767,1984,Stargate SG-1 Unleashed,NULL,2013-03-12 00:00:00.000,NULL,NULL,96.0000,2,NULL,NULL
17559,1985,Metal Gear Solid V: The Phantom Pain,"Snake wakes up in a hospital after lying in a coma for 9 years only to find out that the hospital is under attack by an unknown enemy and must escape the hospital as quickly as possible - while only slowly regaining control over his body, degenerated by the coma.",2015-09-01 00:00:00.000,354,57,95.7368,24,85.4091,754
